COLUMN_NAME;DATA_TYPE_ID;PK;NULLABLE;PARTITION_KEY;VISIBLE;COLUMN_TEXT_EN;COLUMN_DESCRIPTION_EN
Stichtag;STICHTAG;y;n;n;y;Reporting date;Reporting date for which the CE-run is performed.
Mandant;MANDANT_A01716;y;n;n;y;Client;Client for which the CE-run is performed.
Ausplatzierungsbestandteil_ID;VARCHAR2_25;n;n;n;y;Securitisation component ID;Client specific unique identifier of a securitisation component.
BS_Rating;CHAR_2;n;n;n;y;BS rating;External rating of the partner/ transaction/ security (BS rating) mapped to the internal rating scale of 25 ranks ('25' means unrated).
BS_Rating_at_inception;CHAR_2;n;n;n;y;BS Rating at inception;Represents BS rating at inception
Dat_Rating;DATE;n;n;n;y;Date of rating;Date of the last rating of the partner, business partner group or transaction.
Erloesquote;NUMBER_8_7;n;n;n;y;Rate of proceeds;The rate of proceeds is part of the internal LGD model in the IRB advanced approach. It specifies the direct proceeds from the liquidation of collateral, expressed as percentage of the basis for assessment.
Erloesquote_downturn;NUMBER_8_7;n;n;n;y;Rate of proceeds downturn;
Faktor_Downturn_LGD;NUMBER_8_7;n;n;n;y;Factor downturn LGD;Factor for taking into account downturn effects for LGD.
Geschaeft_ID;VARCHAR2_48;n;n;n;y;Transaction ID;"Client specific unique identifier of a transaction.
Necessary to uniquely identify a transaction (Primary keys: Transaction ID, Sub-transaction ID, Transaction category)."
Geschaeftskategorie;GESCHAEFTSKATEGORIE;n;n;n;y;Transaction category;"(Partial) key field used to differentiate between transactions (delivered via CDB.Transaction), free credit lines (delivered via CDB.Line_of_credit) and transactions created during CE processing.
Necessary to uniquely identify a transaction (Primary keys: Transaction ID, Sub-transaction ID, Transaction category)."
ISIN;CHAR_12_K;n;n;n;y;ISIN;The ISIN (International Securities Identification Number) uniquely identifies a security.
Kostenquote_indirekt;NUMBER_8_7;n;n;n;y;Rate of costs indirect;The rate of indirect costs is part of the internal LGD model in the IRB advanced approach. It specifies the indirect costs associated with the liquidation process, expressed as percentage of the basis for assessment.
KZ_Beauftragung;FLAG;n;n;n;y;Flag Rating solicited;Flag for external [Ratings], indicating whether the rating agency that rated the company was commissioned to do so by the [Partner] itself. As a rule, an issuer commissions the rating agency to produce a [Rating] (solicited rating). Occasionally, however, a rating agency produces an unsolicited [Rating], for instance in response to an investor enquiry. This [Rating] is then produced without the involvement of the issuer and only on the basis of publicly available information. Unlike the USA, in Germany it is not customary to produce unsolicited ratings.
KZ_endorsement_compliance;FLAG;n;n;n;y;Flag Endorsement Compliance fulfilled;According to 2009/111/EC and Regulation (EC) No 1060/2009 in respect of external credit assessment institutions, credit ratings issued in a third country may be endorsed only when the credit rating activities resulting in the issuing of such a credit rating comply with specifically for ECAIs defined conditions. Endorsed ratings that comply in such a way are indicated with YES ('J'), endorsed ratings that do not comply are indicated with NO ('N'). External ratings where this endorsement requirement is not applicable generally receive 'J'. For internal ratings this flag is always set to 'N', because it is not relevant.
KZ_Short_Term_Rating_STA;FLAG;n;n;n;y;Flag Short-term rating STA;This flag is used to identify all transactions that have been risk-weighted using an external short-term rating.
KZ_Sicherheiten_beruecksicht;FLAG;n;n;n;y;Flag Collateral taken into account;Indicates whether the external rating also takes into account the collateral
Parameter_k1_CIR;NUMBER_8_7;n;n;n;y;Parameter k1 – for country induced risk;The parameter k1 is used to calculate [PD add-on country induced risk] in the ARAMIS Calculation Engine (only relevant if no [PD add-on country induced risk] is delivered).
Parameter_k2_TR;NUMBER_8_7;n;n;n;y;Parameter k2 – for transfer risk;The parameter k2 is used to calculate [PD add-on transfer risk] in the ARAMIS Calculation Engine (only relevant if no [PD add-on transfer risk] is delivered).
Partner_ID;VARCHAR2_24;n;n;n;y;Partner ID;Client specific unique identifier of a partner.
PD;NUMBER_8_7;n;n;n;y;PD;States the probability of default of an exposure within one year (PD = probability of default). If no PD is derived for a rating, then a value of -1 must be used.
PD_add_on_CIR;NUMBER_8_7;n;n;n;y;PD add-on country induced risk;This field states the PD add-on that is relevant for general country induced risk. This PD add-on is calculated as parameter k1 * PD_country, where country refers to the country of risk of the partner. If the field is not delivered the PD add-on is calculated in the calculation engine.
PD_Aufschlag_Transferrisiko;NUMBER_8_7;n;n;n;y;PD add-on transfer risk;PD add-on for transfer risk in case of transfer-risk-relevant transactions
Pd_With_Cir;NUMBER_8_7;n;n;n;y;PD with country induced risk;"This field states the PD that is relevant after consideration of general country induced risk but before consideration of transfer risk. 
This PD is derived based on PD_counterparty + (parameter k1 * PD_country), where country refers to the country of risk of the partner. In GWR (Group-wide rating tool of UniCredit) this PD is called ""PD without transfer risk"".  If the field is not delivered the PD with country induced risk is calculated in the calculation engine."
Rating_ID;VARCHAR2_40;y;n;n;y;Rating ID;Client specific unique identifier of the rating applied to the rating.
Rating_ID_composite_initial;VARCHAR2_40_I;n;n;n;y;Rating ID composite initial;
Ratingeinstufung_gemappt;RATINGEINSTUFUNG_GEMAPPT_A01906;n;n;n;y;Mapped rating;Internal rating of the partner/security/transaction mapped to the central scale (mapped rating).
Ratingeinstufung_original;VARCHAR2_30;n;n;n;y;Original rating;Internal rating of the partner/ transaction/ security in the original notation of the client (not mapped to the central scale).
Ratingverfahren_ID;VARCHAR2_6;n;n;n;y;Rating procedure ID;The Rating procedure_ID facilitates a client-specific unique and detailed identification of all rating/scoring procedures used. This is necessary for a targeted controlling and analysis in the area of ratings/scorings. The ID is chosen by the client itself (6 characters).   In HVB AG, the ID consists of the rating type and the number of the special case from the rating system KRIBS Rating. Together with the information on the version number and the score card ID from the reporting information, it is therefore possible to tell for every entry in the rating entity precisely what rating/scoring procedure, what version and what score card was used to estimate the relevant PD.
Reportinginformation;VARCHAR2_400;n;n;n;y;Reporting information;For each entity, a text box is available in which each [Client] can enter any desired contents.
SL_Bezugsebene;SL_BEZUGSEBENE_A03029;n;n;n;y;Key Reference level;Gives the reference level of the rating (e.g. partner/ transaction/ security/ risk country)
SL_Credit_Quality_Step;SL_CREDIT_QUALITY_STEP;n;n;n;y;Key Credit quality step;"Credit Quality step according to CRR: The credit quality step is derived from the external rating and is used to determine the risk weight according to the standardised approach.
Reference: Article 114, 2 CRR; Article 120, 1+2 CRR; Article 122, 1 CRR, Article 131 CRR"
SL_Fremdwaehrungsrating;SL_FREMDWAEHRUNGSRATING_A01910;n;n;n;y;Key Foreign currency rating;This key indicates whether the rating is based on a currency different from that of the country where the issuer is headquartered.
SL_LGD_Verfahren;SL_LGD_VERFAHREN;n;n;n;y;Key LGD procedure;The key indicates the LGD model that was used to estimate the [Rate of proceeds uncollateralised].
SL_Melderecht;SL_MELDERECHT;y;n;n;y;Key Reporting regulation;Reporting regulation for which the CE-run is performed e.g. EUB3 (Basel III)
SL_Rating_composite_initial;SL_RATING_COMPOSITE_INITIAL_A07201;n;n;n;y;Key Rating composite initial;
SL_Ratingeinstufung_extern;SL_RATINGEINSTUFUNG_EXTERN_A02270;n;n;n;y;Key External rating;Indicates the external rating assigned by the rating company as a key. The Bank has not yet mapped the rating classes to a central scale of its own. Unlike the original ratings, a fixed list of keys is applied here. For a Standard and Poor's rating, for example, the key value AAA would be placed in this field (depending on the outcome of the rating).
SL_Ratingeinstufung_extern_inc;SL_RATINGEINSTUFUNG_EXTERN_INC_A08065;n;n;n;y;Key External rating at inception;Represents external rating at inception
SL_Ratinggesellschaft;SL_RATINGGESELLSCHAFT_A01908;n;n;n;y;Key Rating agency;"States the name of the rating agency that produced the rating. If it is an internal rating, the value ""internal"" is entered in place of the name of the rating agency. We speak of an internal rating when a bank assesses a borrower's rating and default probability within the framework of a creditworthiness evaluation. An external rating describes the rating of a company by an independent rating agency.

Note: Ratings of further rating agencies can be delivered if they have been announced in advance."
SL_Ratingverfahren;SL_RATINGVERFAHREN_A01778;n;n;n;y;Key Rating method;Indicates the type of the rating method applied.
SL_Ratingverfahren_original;SL_RATINGVERFAHREN_A01778;n;n;n;y;Key Rating method original;Indicates the type of the rating method delivered.
SL_TSR_class;SL_TSR_CLASS_A05041;n;n;n;y;Key TSR class;In case of transactions that are relevant to general country induced risk / transfer risk, a Transaction Specific Recovery (TSR) rate can be derived based on the TSR class of the transaction. Please note: if no [Key: TSR class] is delivered to ARAMIS CDB, the TSR class is derived inside ARAMIS Calculation Engine.
PD_Addon_Cntry_Risk_no_MOC;AMOUNT_8_7;n;n;n;y;PD add-on country induced Risk without MOC;"PD add-on for country induced risk excluding MOC.
Banks have to consider the MoC (margin of conservatism) in the estimation of the risk parameters. The MoC aims at addressing deficiencies and any other uncertainty related to the estimation of the risk parameters and has to be added to the risk parameter in the regulatory/ internal risk calculation.
For the IFRS9 LLP calculation the MoC doesn’t need to be considered, as the IFRS9 rules require risk parameters without margin of conservatism.
Ref. EBA/RTS/2016/03"
PD_Addon_Trans_Risk_no_MOC;AMOUNT_8_7;n;n;n;y;PD add-on Transfer Risk without MOC;"PD add-on for transfer risk excluding MOC
Banks have to consider the MoC (margin of conservatism) in the estimation of the risk parameters. The MoC aims at addressing deficiencies and any other uncertainty related to the estimation of the risk parameters and has to be added to the risk parameter in the regulatory/ internal risk calculation.
For the IFRS9 LLP calculation the MoC doesn’t need to be considered, as the IFRS9 rules require risk parameters without margin of conservatism.
Ref. EBA/RTS/2016/03"
PD_Without_MOC;AMOUNT_8_7;n;n;n;y;PD without MOC;"Probability of default excluding MOC
Banks have to consider the MoC (margin of conservatism) in the estimation of the risk parameters. The MoC aims at addressing deficiencies and any other uncertainty related to the estimation of the risk parameters and has to be added to the risk parameter in the regulatory/ internal risk calculation.
For the IFRS9 LLP calculation the MoC doesn’t need to be considered, as the IFRS9 rules require risk parameters without margin of conservatism.
Ref. EBA/RTS/2016/03"
Stichtag_Mandant_Lauf_Recht;STICHTAG_MANDANT_LAUF_RECHT;y;n;y;y;Partition field;Partition field of CE common part
Stichtag;STICHTAG;y;n;n;y;Reporting date;Reporting date for which the CE-run is performed.
Mandant;MANDANT_A01716;y;n;n;y;Client;Client for which the CE-run is performed.
BS_Rating_Auslandswaehrung_STA;CHAR_2;n;n;n;y;BS rating foreign currency STA;External foreign currency rating of the country (BS rating) mapped to the internal rating scale of 25 ranks ('25' means unrated).
BS_Rating_Inlandswaehrung_STA;CHAR_2;n;n;n;y;BS rating domestic currency STA;External domestic currency rating of the country (BS rating) mapped to the internal rating scale of 25 ranks ('25' means unrated).
Kat_phy_Si_anerk;CHAR_3;n;n;n;y;Category physical collateral recognition;Categorisation/Aggregation of collateral types for recognition
SL_Behandlung_GP_STA;CHAR_3;n;n;n;y;Key Treatment real property liens STA;Categorisation of the treatment of mortgage lien in STA
SL_Option_Kirche_STA;CHAR_4;n;n;n;y;Key Option church STA;The discretion (Former Basel II regulatory , doesn't exist in Basel III (see new Article)) (CRR 575/2013 Article 115 (3)) under which the exposures to curches are either risk-weighted like banks under option 1 or option 2 or are assigned a blanket risk weight of 100%.
KZ_anerkannter_Barvorsch_STA;FLAG;n;n;n;y;Flag Recognised cash advance STA;This field flags whether the national regulator allows priviliged treatment for cash advances in the context of securitisation exposures.
KZ_Anerkenn_unbeauftr_Rat_STA;FLAG;n;n;n;y;Flag Recognition unsolicited ratings STA;This field flags whether unsolicitated external ratings are permitted for use in the risk weighting.
KZ_BA_Heimatwaehrung_STA;FLAG;n;n;n;y;Flag Banks domestic currency STA;The discretion (Former Basel II regulatory , doesn't exist in Basel III (see new Article)) for the treatment of short-term exposures to institutions that are re-financed in the local currency. (CRR 575/2013 Article 119 (2))
KZ_BA_Option_STA;FLAG;n;n;n;y;Flag Bank option STA;"This flag is used to distinguish between banks that are risk weighted using the banks external rating (Flag_Bank_option_STA = N) and banks that are risk weighted using the external rating of the country (Flag_Bank_option_STA = J).
Reference: Article 120/121 CRR."
KZ_Bankenemission_qualifiziert;FLAG;n;n;n;y;Flag Bank issue qualified;The discretion (CRR 575/2013 Article 336 (4b)) under which bank issues may be recognised as qualified positions.
KZ_BS_Reg_STA;FLAG;n;n;n;y;Flag Security firms supervised STA;Indicates whether securities firms are subject to regulatory supervision (like banks) in the relevant country.
KZ_Cap_50p_GP_CRE_EU;FLAG;n;n;n;y;Flag Cap 50p real property lien CRE EU;This field flags whether for commercial objects in IRF the risk weighting of 50% should be permitted.
KZ_Cap_50p_GP_RRE_EU;FLAG;n;n;n;y;Flag Cap 50p real property lien RRE EU;This field flags whether for residential real estate objects in IRF the risk weighting of 50% should be permitted.
Kz_Cr_Ungeratet_Sta;FLAG;n;n;n;y;Flag: Corporates unrated STA;Pursuant to paragraph 41 3rd CP there was a discretion to increase the exposures to corporates in the Standardised Approach.
KZ_Equiv_for_exchanges;FLAG;n;n;n;y;Flag Equivalence for exchanges;Equivalence of the requirements applied to stock exchanges on third countries ( Ref: Commission Implementing Decision 2014/908/EU)
KZ_Equiv_for_institutions;FLAG;n;n;n;y;Flag Equivalence for institutions;Equivalence of the requirements applied to credit institutions on third countries ( Ref: Commission Implementing Decision 2014/908/EU)
KZ_Equiv_for_investment_firms;FLAG;n;n;n;y;Flag Equivalence for investment firms;Equivalence of the requirements applied to investment firms on third countries ( Ref: Commission Implementing Decision 2014/908/EU)
KZ_EU;FLAG;n;n;n;y;Flag EU;Flags all countries belonging to the European Union.
KZ_EU8;FLAG;n;n;n;y;Flag EU8;Netherlands, Germany, Denmark, Spain, Belgium, Luxembourg, Sweden, Finland or Austria.
KZ_Europ_Investitionsfond;FLAG;n;n;n;y;Flag European investment fund;This flag indicates an European investment fund.
KZ_Foerderprogramm_Equity_IRB;FLAG;n;n;n;y;Flag Legislated program equity IRB;The flag controls whether equities that are part of legislated programmes are to be treated using the Standardised Approach (see CRR 575/2013 Article 150 (1 h)).
KZ_hoeheres_Risiko_Equity_STA;FLAG;n;n;n;y;Flag Higher risk equity STA;A discretion (Former Basel II regulatory , doesn't exist in Basel III (see new Article)) pursuant to CRR 575/2013 Article 128 (1) under which high-risk exposures are assigned a risk weight of 150%.
KZ_Implicit_guarantee_eligible;FLAG;n;n;n;y;Flag Implicit guarantee eligible;
KZ_Inland;FLAG;n;n;n;y;Flag Domestic;Indicates whether the partner is domiciled in the country of the client.
Kz_Institution_Sta;FLAG;n;n;n;y;Flag: Institution STA;Not relevant
KZ_Interbankenmarkt_RW_10P_STA;FLAG;n;n;n;y;Flag Interbank market risk weight 10p STA;"This flag indicates the (discretion according to Annex VI, Part 1, §85 [2006/48/EC]) (Former Basel II regulatory , doesn't exist in Basel III (Article not in Basel III)); this discretion states that a risk weight of 10% is to be applied for certain bank claims."
KZ_MDB;FLAG;n;n;n;y;Flag MDB;The flag identifies MDBs.
KZ_MDB_0p_STA;FLAG;n;n;n;y;Flag MDB 0p STA;This flag is used to identify all multilateral development banks that receive a risk weight of 0% in the Standardised approach according to Article 117 CRR.
KZ_MDB_20p_GS1;FLAG;n;n;n;y;Flag MDB 20p GS1;The flag identifies the MDBs that are assigned a risk weight of 20% under Principle 1.
KZ_OGAW_beaufsichtigt;FLAG;n;n;n;y;Flag UCITS supervised;Indicates whether the UCITSs are monitored in the relevant country.
KZ_preferencial_RW_BA_coll_STA;FLAG;n;n;n;y;Flag Apply Preferencial Risk Weight BANK Collateral STA;Flag indicating, in the case of  substitution approach applies, the risk-weighted exposure amounts under Standardized approach is calculated assigning the risk weight of the guarantor or protection provider or not
Kz_Privileg_Gewerbl_Obj_Gs1;FLAG;n;n;n;y;Flag: Priviliged treatment commercial objects GS1;This field is not used anymore.
Kz_Privileg_Gewerbl_Obj_Sta;FLAG;n;n;n;y;Flag: Priviliged treatment commercial objects STA;This field is not used anymore.
KZ_PSE_Garant_Heimatw_STA;FLAG;n;n;n;y;Flag PSE guarantee domestic currency STA;See [Flag: PSE domestic currency STA], whereby is is not referred to the claim, but to the guarantee. (switches on/off the lower risk weight for guarantees from SP (if [PSE postion] = 'SCSB'))
KZ_PSE_Heimatw_STA;FLAG;n;n;n;y;Flag PSE domestic currency STA;This flag serves to steer the discretion (Former Basel II regulatory , doesn't exist in Basel III (see new Article)) of CRR 575/2013 Article 114 (4), according to which claims to public sector entities (treated as central government) recieve a better risk weight, if the claims are in domestic currency and refinanced in domestic currency. (switches on/off the lower risk weight for exposure to SP (if [PSE Option] = 'SCSB'))
KZ_Rating_Konsortialfuehr_MDB;FLAG;n;n;n;y;Flag Rating syndicate manager MDB;This field flags whether the rating for claims in domestic currency can be applied to the claims in foreign currency for syndicated loans of MDB (cp. CRR 575/2013 Article 141)
KZ_Real_Estate_Restlaufzeit;FLAG;n;n;n;y;Flag Real-estate remaining maturity;The discretion (Former Basel II regulatory , doesn't exist in Basel III (see new Article)) pursuant to CRR 575/2013 Article 162 (4) under which the balance-sheet total can be increased from 500 million to 1000 million for companies that invest in real-estate properties.
KZ_Regionalreg_Gar_Heimatw_STA;FLAG;n;n;n;y;Flag Regional government guarantee domestic currency STA;See [Flag: Regional government domestic currency STA], whereby is is not referred to the claim, but to the guarantee. (switches on/off the lower risk weight 20% for guarantees from SR (if [SR Option] <> 'SCSB'))
KZ_Regionalreg_Heimatw_STA;FLAG;n;n;n;y;Flag Regional government domestic currency STA;This flag serves to steer the discretion (Former Basel II regulatory , doesn't exist in Basel III (see new Article)) of CRR 575/2013 Article 115 (4), according to which claims to regional government recieve a better risk weight, if the claims are in domestic currency and refinanced in domestic currency. (switches on/off the lower risk weight 20% for exposure to SR (if [SR Option] <> 'SCSB'))
KZ_SR_PSE_Garant_Heimatw_STA;FLAG;n;n;n;y;Flag SR PSE guarantee domestic currency STA;"See ""Flag: SR PSE domestic currency STA "", whereby is is not referred to the claim, but to the guarantee. (switches on/off the lower risk weight for guarantees from SP or SP (if SR Option and PSE Option <> SCSB), but the ‘Flag: Treated_as_central_government’ is delivered with ‘J’ on partner level)"
KZ_SR_PSE_Heimatw_STA;FLAG;n;n;n;y;Flag SR PSE domestic currency STA;This flag serves to steer the discretion (Former Basel II regulatory , doesn't exist in Basel III (see new Article)) of CRR 575/2013 Article 114 (4), according to which claims to regional governments or public sector entities (treated as central government based on published list by competent autority) recieve a better risk weight, if the claims are in domestic currency and refinanced in domestic currency. (switches on/off the lower risk weight for exposure to SR or SP (if [SR Option] resp. [PSE Option] <> 'SCSB'), but the [Flag: Treared_as_central_government] is delivered with ‘J’ on partner level)
KZ_UBH_Other_Assets_IRB;FLAG;n;n;n;y;Flag Ancillary-services other assets IRB;The discretion (Former Basel II regulatory , doesn't exist in Basel III (see new Article) under which exposures to ancillary-services undertakings are to be treated like other assets (CRR 575/2013 Article 155 (1)).
Kz_Wb_150P_Sta;FLAG;n;n;n;y;Flag: Loan-loss provisions 150p STA;Discretion (Former Basel II regulatory , doesn't exist in Basel III (see new Article)) (CRR 575/2013 Article 127 (3, 4)) under which non-past due loans to counterparties who are assigned a 150% risk weight are risk-weighted as follows:  - Loans are risk-weighted with 100% if individual loan loss reserves are not less than 20% of the loan amount – Loans are risk-weighted with 50% if individual loan loss reserves are not less than 50% of the loan amount.
Kz_Wb_50P_Sta;FLAG;n;n;n;y;Flag: Loan-loss provisions 50p STA;Discretion (Former Basel II regulatory , doesn't exist in Basel III) - deleted from the final EU version - under which the loans are weighted with 50% if the individual loan loss reserves are not less than 50% of the unsecured loan amount.
KZ_Zahlungsverzug_RRE_50p_STA;FLAG;n;n;n;y;Flag Past due RRE 50p STA;This field serves to realise the national discretion (Former Basel II regulatory , doesn't exist in Basel III (see new Article)) according to CRR 575/2013 Article 127 (3, 4): Exposures according to Article 125 and 126, which are due more than 90 days, receive a risk weight of 100%, after decuction of all value adjustments. If the value adjustments account to at least 20% of the claims before deduction of value adjustments, then the risk weight to apply for the remaining part of the claims can - by discretion of the national authority - be reduced to 50%.
KZ_Zentralr_Garant_Heimatw_STA;FLAG;n;n;n;y;Flag Central government guarantee domestic currency STA;"See ""Flag: Central government domestic currency STA"", whereby is is not referred to the claim, but to the guarantee."
KZ_Zentralreg_Heimatwaehr_GS1;FLAG;n;n;n;y;Flag Central government domestic currency GS1;"It is checked if the responsible national supervisory has exercised the discretion.
This is done by reading the [Flag: Central government domestic currency GS1] through the [Key: Legal country] from the [RT].[Legal country]."
KZ_Zentralreg_Heimatwaehr_STA;FLAG;n;n;n;y;Flag Central government domestic currency STA;This flag serves to steer the discretion (Former Basel II regulatory , doesn't exist in Basel III (see new Article)) of CRR 575/2013 Article 114 (4), according to which claims to central government recieve a better risk weight, if the claims are in domestic currency and refinanced in domestic currency.
KZ_Zone_A;FLAG;n;n;n;y;Flag Zone A;Countries of Zone A pursuant to section 1 (5b) sentence 1 KWG.
KZ_Use_country_rating_for_SB;FLAG;n;n;n;y;Flag Use country rating for central banks;"Flag to indicate if country ratings may be used to determine the risk weight for central banks.
(In case of non-EU central banks country ratings may not be used according to EBA Q&A 2017_3231)"
KZ_Eurozone;FLAG;n;n;n;y;Flag Eurozone;Flags all countries belonging to the Eurozone.
Erloesquote_unbesichert;NUMBER_8_7;n;n;n;y;Rate of proceeds uncollateralised;The rate of proceeds is part of the internal LGD model in the IRB advanced approach. It specifies the amount of the transaction that can be recovered in case of a default, expressed as percentage of the basis for assessment.
Faktor_Downturn_LGD;NUMBER_8_7;n;n;n;y;Factor downturn LGD;Factor for taking into account downturn effects for LGD.
Kostenquote_indirekt;NUMBER_8_7;n;n;n;y;Rate of costs indirect;The rate of indirect costs is part of the internal LGD model in the IRB advanced approach. It specifies the indirect costs associated with the liquidation process, expressed as percentage of the basis for assessment.
Kostenquote_unbesichert;NUMBER_8_7;n;n;n;y;Rate of costs uncollateralised;The rate of costs is part of the internal LGD model in the IRB advanced approach. It specifies the direct costs associated with the liquidation process, expressed as percentage of the basis for assessment.
PD;NUMBER_8_7;n;n;n;y;PD;States the probability of default of an exposure within one year (PD = probability of default). If no PD is derived for a rating, then a value of -1 must be used.
Rate_Abwicklung;NUMBER_8_7;n;n;n;y;Liquidation rate;The liquidation rate is one model parameter of the internal LGD model in the IRB advanced approach. It gives the probability (percentage) that a defaulted partner is liquidated.
Rate_Vergleich;NUMBER_8_7;n;n;n;y;Settlement rate;The settlement rate is one model parameter of the internal LGD model in the IRB advanced approach. It gives the probability (percentage) that a legal settlement is reached with a defaulted customer.
Verlustquote_Vergleich;NUMBER_8_7;n;n;n;y;Factor of LGD settlement to LGD liquidation;LGD of the transactions with status 'settlement'
WB_Quote_Zahlungsverzug;NUMBER_8_7;n;n;n;y;Value adjustment/provision rate past due;In the risk weighting of past-due loans that are collateralised with real-estate (which does not comply with the EU Banking Directive), a loan-loss reserve rate that differs from the one in the EU Banking Directive is used.
Erloesquote_central_bank_RCI;NUMBER_8_7;n;n;n;y;Rate of proceeds central bank RCI;Gives the group-wide country rating (LGD) relevant for the central banks of the eurozone.
PD_central_bank_RCI;NUMBER_8_7;n;n;n;y;PD central bank RCI;Gives the group-wide country rating (PD) relevant for the central banks of the eurozone.
Dauer_Abwicklung;NUMBER_9;n;n;n;y;Duration liquidation;Internally estimated LGD component
Risikogew_BA_Heimatwaehr_STA;NUMBER_9_7;n;n;n;y;Risk weight banks domestic currency STA;National discretion (Former Basel II regulatory , doesn't exist in Basel III (see new Article)) (CRR 575/2013 Article 119 (2)) on the treatment of short term claims to institutes which are refinanced in local currency. This field states the risk weight.
Risikogew_Regionalr_Heimw_STA;NUMBER_9_7;n;n;n;y;Risk weight regional government domestic currency STA;"National discretion (Former Basel II regulatory , doesn't exist in Basel III (see new Article)) (CRR 575/2013 Article 115 (4)), according to which claims to regional governments which denote and are refinanced in local currency receive favorable risk weights. This field states the risk weight.
(the lower risk weight for regional government treated as institution will be parametrised with 20%)"
Risikogew_Zentralr_Heimatw_GS1;NUMBER_9_7;n;n;n;y;Risk weight central government domestic currency GS1;Attribute determined via [RT].[Legal country]
Risikogew_Zentralr_Heimatw_STA;NUMBER_9_7;n;n;n;y;Risk weight central government domestic currency STA;National discretion (Former Basel II regulatory , doesn't exist in Basel III (see new Article)) (CRR 575/2013 Article 114 (4)), according to which claims to central governments which denote and are refinanced in local currency receive favorable risk weights. This field states the risk weight.
Risikogewicht_Cr_Ungeratet_Sta;NUMBER_9_7;n;n;n;y;Risk weight corporates unrated STA;According to item 41 3. CP there was a National discretion to increase the risk weight of claims to corporates in the STA approach. This field then states the according risk weight.
Ratingeinstufung_gemappt;RATINGEINSTUFUNG_GEMAPPT_A01906;n;n;n;y;Mapped rating;Internal rating of the country mapped to the central scale (mapped rating).
Sl_Credit_Quality_Step;SL_CREDIT_QUALITY_STEP;n;n;n;y;Key: Credit quality step;"Credit Quality step of the country according to CRR: The credit quality step is derived from the external rating and is used to determine the risk weight according to the standardised approach.
Reference: Article 114, 2 CRR; Article 120, 1+2 CRR; Article 122, 1 CRR, Article 131 CRR"
SL_Melderecht;SL_MELDERECHT;y;n;n;y;Key Reporting regulation;Reporting regulation for which the CE-run is performed e.g. EUB3 (Basel III)
SL_PSE_Option_STA;SL_PSE_OPTION_STA;n;n;n;y;Key PSE option STA;"This key is used to distinguish between Public sector entities that are risk weighted according to the rules for central governments (Key_PSE_option_STA = SCSB) and those that are risk weighted according to the rules for institutions (Key_PSE_option_STA = OPT1/OPT2).
Reference: Article 115 CRR"
SL_Ratingverfahren;SL_RATINGVERFAHREN_A01778;n;n;n;y;Key Rating method;Indicates the type of the rating method applied.
SL_rechtliches_Land;SL_RECHTLICHES_LAND_F00469;y;n;n;y;Key Legal country;"Legal country
(Numerical country code specified by German Bundesbank)."
SL_Risikoland;SL_RISIKOLAND_F00470;n;n;n;y;Key Country of risk;Risk country (corresponds to the ISO-Alpha-2 country code).
SL_SR_Option_STA;SL_SR_OPTION_STA;n;n;n;y;Key SR option STA;"This key is used to distinguish between Regional governments/ local authorities that are risk weighted according to the rules for central governments (Key_SR_option_STA = SCSB) and those that are risk weighted according to the rules for institutions (Key_SR_option_STA = OPT1/OPT2).
Reference: Article 115 CRR"
Rating_ID_domestic_currenc_STA;VARCHAR2_40_I;n;n;n;y;Rating ID domestic currency STA;Client specific unique identifier of the domestic currency rating (external rating) applied to the country in the Standardised approach.
Rating_ID_foreign_currency_STA;VARCHAR2_40_I;n;n;n;y;Rating ID foreign currency STA;Client specific unique identifier of the foreign currency rating (external rating) applied to the country in the Standardised approach.
Rating_ID_IRB;VARCHAR2_40_I;n;n;n;y;Rating ID IRB;Client specific unique identifier of the rating applied to the country in the IRB approach.
Name_rechtliches_Land;VARCHAR2_80;n;n;n;y;Name legal country;Name of the legal country.
Name_Risikoland;VARCHAR2_80;n;n;n;y;Name risk country;Name of the risk country.
Stichtag_Mandant_Lauf_Recht;STICHTAG_MANDANT_LAUF_RECHT;y;n;y;y;Partition field;Partition field of CE common part
